Time,Mean Speed,Mean Volume,After,Frq Cong. After,405es02136:_MN___1 good days,405es02136:_MN___2 good days,405es02136:_MN___3 good days,,,Before,Time,Mean Speed,Mean Volume,Before vplph,Before % Congested (19%),405es02136:_MN___1 good days,405es02136:_MN___2 good days,405es02136:_MN___3 good days
0:00,60,74.94117627,299.7647059,0,84,81,84,,,,0:00:00,58.75185808,71.98863635,287.9545455,1.136363636,87,88,88
0:05,60,70.95882335,283.8352941,0,84,81,85,,,,0:05:00,59.3853506,71.14204544,284.5681818,0,87,88,88
0:10,60,66.4058822,265.6235294,0,84,81,85,,,,0:10:00,59.375,68.06818181,272.2727273,0,87,88,88
0:15,60,58.7823528,235.1294118,0,84,81,85,,,,0:15:00,58.75,58.1590909,232.6363636,0,87,88,88
0:20,60,53.47058813,213.8823529,0,85,81,84,,,,0:20:00,59.3830819,53.81818181,215.2727273,0,87,88,88
0:25,60,53.07738084,212.3095238,0,84,80,84,,,,0:25:00,58.77367424,53.06249999,212.25,0,87,88,88
0:30,60,49.59523801,198.3809524,0,84,81,84,,,,0:30:00,60,49.02272727,196.0909091,0,87,88,88
0:35,60,47.86904756,191.4761905,0,84,81,84,,,,0:35:00,60,45.71590909,182.8636364,0,87,88,88
0:40,60,44.86904756,179.4761905,0,84,81,84,,,,0:40:00,59.375,44.36363636,177.4545455,0,87,88,88
0:45,60,43.52380946,174.0952381,0,85,81,84,,,,0:45:00,59.375,41.38068181,165.5227273,1.136363636,87,88,88
0:50,60,40.58333328,162.3333333,0,85,81,84,,,,0:50:00,60,41.32954545,165.3181818,0,87,88,88
0:55,60,39.03571424,156.1428571,0,85,80,84,,,,0:55:00,60,39.98295454,159.9318182,0,87,88,88
1:00,60,36.67261899,146.6904762,0,85,80,84,,,,1:00:00,60,37.30681817,149.2272727,0,87,88,88
1:05,60,37.79761899,151.1904762,0,85,80,84,,,,1:05:00,59.375,37.93181818,151.7272727,1.136363636,87,88,88
1:10,60,37.85119043,151.4047619,0,85,80,84,,,,1:10:00,60,36.02840909,144.1136364,0,87,88,88
1:15,60,34.11309519,136.452381,0,85,80,84,,,,1:15:00,60,33.30113636,133.2045455,0,87,88,88
1:20,60,32.56626504,130.2650602,0,84,80,84,,,,1:20:00,59.375,31.86931817,127.4772727,1.136363636,87,88,88
1:25,60,30.81325298,123.253012,0,84,80,84,,,,1:25:00,59.375,29.97727272,119.9090909,1.136363636,87,88,88
1:30,60,31.56024094,126.2409639,0,84,80,84,,,,1:30:00,59.36781609,33.04022988,132.1609195,1.149425287,86,87,87
1:35,60,31.05357141,124.2142857,0,84,81,84,,,,1:35:00,59.36781609,30.46551724,121.862069,0,86,87,87
1:40,60,29.33928569,117.3571429,0,85,82,83,,,,1:40:00,59.36781609,32.03448275,128.137931,0,86,87,87
1:45,60,31.15294115,124.6117647,0,85,83,83,,,,1:45:00,60,29.03448275,116.137931,0,86,87,87
1:50,60,30.56470585,122.2588235,0,85,83,83,,,,1:50:00,60,31.46590909,125.8636364,0,88,88,88
1:55,59.35294118,33.61176466,134.4470588,0,85,83,83,,,,1:55:00,60,31.57954545,126.3181818,0,88,88,88
2:00,60,30.22352938,120.8941176,0,85,83,84,,,,2:00:00,60,28.15909091,112.6363636,0,88,88,88
2:05,60,30.55294114,122.2117647,0,85,83,84,,,,2:05:00,60,28.88636364,115.5454545,0,88,88,88
2:10,60,30.89999998,123.6,0,85,84,84,,,,2:10:00,60,27.57954545,110.3181818,0,88,88,88
2:15,60,26.36470587,105.4588235,0,85,84,85,,,,2:15:00,60,26.68181818,106.7272727,0,88,88,88
2:20,60,25.28235293,101.1294118,0,85,84,85,,,,2:20:00,60,26.60227273,106.4090909,0,88,88,88
2:25,60,26.47058822,105.8823529,0,85,84,85,,,,2:25:00,60,26.19318182,104.7727273,0,88,88,88
2:30,60,24.61176469,98.44705882,0,85,84,85,,,,2:30:00,60,26.60227273,106.4090909,0,88,88,88
2:35,60,28.2352941,112.9411765,0,85,84,85,,,,2:35:00,60,28.5,114,0,88,88,88
2:40,60,28.85882352,115.4352941,0,85,84,85,,,,2:40:00,60,31.26136364,125.0454545,0,88,88,88
2:45,60,28.08235292,112.3294118,0,85,84,85,,,,2:45:00,60,29.61363636,118.4545455,0,88,88,88
2:50,60,25.79411764,103.1764706,0,85,84,85,,,,2:50:00,60,27.19318182,108.7727273,0,88,88,88
2:55,60,24.77647058,99.10588235,0,85,84,85,,,,2:55:00,60,25.82954545,103.3181818,0,88,88,88
3:00,60,26.54117646,106.1647059,0,85,84,85,,,,3:00:00,60,26.19318182,104.7727273,0,88,88,88
3:05,60,27.38823529,109.5529412,0,85,85,85,,,,3:05:00,60,24.72727273,98.90909091,0,88,88,88
3:10,60,26.57647059,106.3058824,0,85,85,85,,,,3:10:00,60,26.44318182,105.7727273,0,88,88,88
3:15,60,27.57647059,110.3058824,0,85,85,85,,,,3:15:00,60,27.68181818,110.7272727,0,88,88,88
3:20,60,29.83529412,119.3411765,0,85,85,85,,,,3:20:00,60,28.43181818,113.7272727,0,88,88,88
3:25,60,28.47058824,113.8823529,0,85,85,85,,,,3:25:00,60,29.86363636,119.4545455,0,87,88,88
3:30,60,30.14117647,120.5647059,0,85,85,85,,,,3:30:00,60,30.38636363,121.5454545,0,87,88,88
3:35,60,32.57647059,130.3058824,0,85,85,85,,,,3:35:00,60,31.21022727,124.8409091,0,87,88,88
3:40,60,34.24705882,136.9882353,0,85,85,85,,,,3:40:00,60,34.40909091,137.6363636,0,88,88,88
3:45,60,35.90588235,143.6235294,0,85,85,85,,,,3:45:00,60,38.09090909,152.3636364,0,88,88,88
3:50,60,33.56470588,134.2588235,0,85,85,85,,,,3:50:00,60,35.52272727,142.0909091,0,88,88,88
3:55,60,33.54117647,134.1647059,0,85,85,85,,,,3:55:00,60,32.67045455,130.6818182,0,88,88,88
4:00,60,36.78823529,147.1529412,0,85,85,85,,,,4:00:00,60,35.44318182,141.7727273,0,88,88,88
4:05,60,38.84705882,155.3882353,0,85,85,85,,,,4:05:00,60,38.78409091,155.1363636,0,88,88,88
4:10,60,41.89411765,167.5764706,0,85,85,85,,,,4:10:00,60,42.68181818,170.7272727,0,88,88,88
4:15,60,48.41176471,193.6470588,0,85,85,85,,,,4:15:00,60,48.02272727,192.0909091,0,88,88,88
4:20,60,54.85882353,219.4352941,0,85,85,85,,,,4:20:00,60,54.64772727,218.5909091,0,88,88,88
4:25,60,62.69411765,250.7764706,0,85,85,85,,,,4:25:00,60,61.25,245,0,88,88,88
4:30,60,69.74117647,278.9647059,0,85,85,85,,,,4:30:00,60,67.70454545,270.8181818,0,88,88,88
4:35,60,75.83529412,303.3411765,0,85,85,85,,,,4:35:00,60,72.15909091,288.6363636,0,88,88,88
4:40,60,77.75294118,311.0117647,0,85,85,85,,,,4:40:00,60,75.82954545,303.3181818,0,88,88,88
4:45,60,83.32941176,333.3176471,0,85,85,85,,,,4:45:00,60,79.23863636,316.9545455,0,88,88,88
4:50,60,82.91764706,331.6705882,0,85,85,85,,,,4:50:00,60,74.67045455,298.6818182,0,88,88,88
4:55,60,84.76470588,339.0588235,0,85,85,85,,,,4:55:00,60,79,316,0,88,88,88
5:00,60,86.76470588,347.0588235,0,85,85,85,,,,5:00:00,60,82.18181818,328.7272727,0,88,88,88
5:05,60,96.75294118,387.0117647,0,85,85,85,,,,5:05:00,60,92.44318182,369.7727273,0,88,88,88
5:10,60,105.0705882,420.2823529,0,85,85,85,,,,5:10:00,60,101.125,404.5,0,88,88,88
5:15,60,116.4588235,465.8352941,0,85,85,85,,,,5:15:00,60,117.1818182,468.7272727,0,88,88,88
5:20,60,127.8941176,511.5764706,0,85,85,85,,,,5:20:00,60,133.4090909,533.6363636,0,88,88,88
5:25,60,145.8588235,583.4352941,0,85,85,85,,,,5:25:00,60,149.5,598,0,88,88,88
5:30,60,161.4352941,645.7411765,0,85,85,85,,,,5:30:00,60,164.1818182,656.7272727,0,88,88,88
5:35,60,179.1647059,716.6588235,0,85,85,85,,,,5:35:00,60,168.8181818,675.2727273,0,88,88,88
5:40,60,180.4941176,721.9764706,0,85,85,85,,,,5:40:00,60,175.4318182,701.7272727,0,88,88,88
5:45,60,179.6941176,718.7764706,0,85,85,85,,,,5:45:00,60,168.5340909,674.1363636,0,88,88,88
5:50,60,177.7294118,710.9176471,0,85,85,85,,,,5:50:00,60,168.1704545,672.6818182,0,88,88,88
5:55,60,174.0823529,696.3294118,0,85,85,85,,,,5:55:00,60,163.3636364,653.4545455,0,88,88,88
6:00,60,170.8588235,683.4352941,0,85,85,85,,,,6:00:00,60,165.6590909,662.6363636,0,88,88,88
6:05,60,178.1411765,712.5647059,0,85,85,85,,,,6:05:00,60,176.2272727,704.9090909,0,88,88,88
6:10,60,196.1529412,784.6117647,0,85,85,85,,,,6:10:00,60,194.2159091,776.8636364,0,88,88,88
6:15,60,209.5647059,838.2588235,0,85,85,85,,,,6:15:00,60,199.8977273,799.5909091,0,88,88,88
